   297 23.16 0.00 0.00    JBANCX010000001.1    122431    122525 (101272) C             Shellder     Unspecified  (5943)     692     598    
   302 17.33 0.00 0.00    JBANCX010000001.1    122455    122529 (101268) C             Shellder     Unspecified  (5943)     692     618    
   241 19.57 0.00 0.00    JBANCX010000001.1    123753    123844  (99953) C             Shellder     Unspecified  (5946)     689     598    
   259 22.34 0.00 0.00    JBANCX010000001.1    123771    123864  (99933) C             Shellder     Unspecified  (5943)     692     599    
   252 21.05 0.00 0.00    JBANCX010000001.1    123789    123883  (99914) C             Shellder     Unspecified  (5943)     692     598    
   244 28.24 7.06 0.00    JBANCX010000001.1    124045    124129  (99668) C             Shellder     Unspecified  (5939)     696     606    
   235 15.32 1.12 4.65    JBANCX010000001.1    215705    215793   (8004) C             Shellder     Unspecified  (5943)     692     607    
   240 20.83 0.00 0.00    JBANCX010000002.1    120455    120526  (85452) C             Shellder     Unspecified  (5963)     672     601    
   271 15.00 0.00 0.00    JBANCX010000002.1    120462    120521  (85457) C             Shellder     Unspecified  (5940)     695     636    
   243 21.14 0.00 6.32    JBANCX010000002.1    150866    150966  (55012) C             Shellder     Unspecified  (5943)     692     598    
   310 14.48 0.00 1.32    JBANCX010000002.1    204864    204940   (1038) +             Shellder     Unspecified     595     670  (5965)    
   230 23.75 0.00 0.00    JBANCX010000006.1     41973     42052  (60171) +             Shellder     Unspecified     612     691  (5944)    
   295 23.16 0.00 0.00    JBANCX010000008.1     37002     37096  (56988) C             Shellder     Unspecified  (5943)     692     598    
   292 17.92 0.00 3.16    JBANCX010000008.1     37011     37108  (56976) C             Shellder     Unspecified  (5943)     692     598    
   278 17.97 0.00 6.32    JBANCX010000008.1     37026     37126  (56958) C             Shellder     Unspecified  (5943)     692     598    
   285 17.97 0.00 6.32    JBANCX010000008.1     37044     37144  (56940) C             Shellder     Unspecified  (5943)     692     598    
   269 15.68 0.00 7.79    JBANCX010000008.1     37074     37156  (56928) C             Shellder     Unspecified  (5943)     692     616    
   234 20.21 0.00 1.06    JBANCX010000009.1     13384     13478  (78558) +             Shellder     Unspecified     599     692  (5943)    
   330 22.97 1.44 2.92    JBANCX010000009.1     13409     13547  (78489) +             Shellder     Unspecified     608     744  (5891)    
   231 20.63 0.00 0.00    JBANCX010000010.1     16415     16477  (73621) +             Shellder     Unspecified     630     692  (5943)    
   278 16.86 0.00 3.16    JBANCX010000011.1     40209     40306  (33182) C             Shellder     Unspecified  (5942)     693     599    
