   264 23.68 3.39 3.39    CANBKX010000001.1     21389     21506  (50557) +               Kuruka     Unspecified    4227    4344  (4489)    
   422 33.06 2.02 2.02    CANBKX010000009.1      5528      5774   (9494) +               Kuruka     Unspecified    3588    3834  (4999)    
   367 34.97 0.61 0.61    CANBKX010000009.1      6349      6512   (8756) +               Kuruka     Unspecified    4400    4563  (4270)    
  1370 34.25 3.58 3.21    CANBKX010000010.1     13984     15099   (6748) C               Kuruka     Unspecified  (4253)    4580    3461    
   628 34.42 4.65 4.44    CANBKX010000014.1      5877      6843  (12601) C               Kuruka     Unspecified  (4282)    4551    3583    
   375 31.66 6.89 4.30    CANBKX010000016.1      4965      5327  (27335) +               Kuruka     Unspecified    3458    3829  (5004)    
   355 33.52 5.77 6.44    CANBKX010000016.1      5433      6073  (26589) +               Kuruka     Unspecified    3905    4541  (4292)    
   783 34.16 4.08 4.80    CANBKX010000019.1      3001      4153  (25340) +               Kuruka     Unspecified    2114    3258  (5575)    
  2522 33.77 1.11 1.20    CANBKX010000019.1      4471      5642  (23851) +               Kuruka     Unspecified    3489    4659  (4174)    
   247 33.82 2.80 2.80    CANBKX010000019.1      6262      6404  (23089) +               Kuruka     Unspecified    5270    5412  (3421)    
   392 35.04 7.21 3.21    CANBKX010000021.1     25952     26520   (3166) +               Kuruka     Unspecified    3936    4526  (4307)    
   460 35.11 5.29 2.05    CANBKX010000024.1      2257      2634  (25174) +               Kuruka     Unspecified    3462    3851  (4982)    
   706 37.27 2.45 1.95    CANBKX010000024.1      2733      3345  (24463) +               Kuruka     Unspecified    3965    4580  (4253)    
   615 34.06 5.17 4.95    CANBKX010000030.1     11108     12074  (19801) C               Kuruka     Unspecified  (4282)    4551    3583    
   990 33.93 1.18 1.38    CANBKX010000041.1      2911      3418  (13926) +               Kuruka     Unspecified    3938    4444  (4389)    
   328 34.61 0.64 0.64    CANBKX010000042.1      2967      3123  (21524) C               Kuruka     Unspecified  (4277)    4556    4400    
   281 32.02 3.79 3.79    CANBKX010000042.1      3680      3890  (20757) C               Kuruka     Unspecified  (4993)    3840    3630    
   281 32.02 3.79 3.79    CANBKX010000042.1      4986      5196  (19451) C               Kuruka     Unspecified  (4993)    3840    3630    
   291 32.02 3.79 3.79    CANBKX010000042.1      6292      6502  (18145) C               Kuruka     Unspecified  (4993)    3840    3630    
   261 33.34 3.32 3.32    CANBKX010000042.1      7586      7796  (16851) C               Kuruka     Unspecified  (4993)    3840    3630    
   291 32.02 3.79 3.79    CANBKX010000042.1      8892      9102  (15545) C               Kuruka     Unspecified  (4993)    3840    3630    
   314 31.52 3.79 3.79    CANBKX010000042.1     10198     10408  (14239) C               Kuruka     Unspecified  (4993)    3840    3630    
   395 31.61 0.64 0.64    CANBKX010000044.1      3451      3606  (23948) C               Kuruka     Unspecified  (4282)    4551    4396    
   619 29.48 1.95 1.95    CANBKX010000044.1      4160      4415  (23139) C               Kuruka     Unspecified  (4993)    3840    3585    
   228 27.85 2.47 2.47    CANBKX010000060.1       908       988  (21628) +               Kuruka     Unspecified    4423    4503  (4330)    
   375 31.66 6.89 4.30    CANBKX010000073.1     11591     11953  (11943) +               Kuruka     Unspecified    3458    3829  (5004)    
   352 33.73 5.83 6.16    CANBKX010000073.1     12065     12699  (11197) +               Kuruka     Unspecified    3909    4541  (4292)    
   737 33.66 7.84 5.34    CANBKX010000079.1      4480      5449  (21440) C               Kuruka     Unspecified  (4247)    4586    3594    
   227 30.96 3.45 2.56    CANBKX010000084.1     20413     20528   (1721) +               Kuruka     Unspecified    3584    3700  (5133)    
   541 37.52 2.33 2.48    CANBKX010000090.1      6964      7608  (24836) C               Kuruka     Unspecified  (4251)    4582    3939    
   273 31.42 5.44 6.78    CANBKX010000090.1      7751      7989  (24455) C               Kuruka     Unspecified  (5004)    3829    3594    
   522 27.62 3.78 2.13    CANBKX010000100.1      4453      4637  (35512) +               Kuruka     Unspecified    4399    4586  (4247)    
  1491 33.41 4.14 3.39    CANBKX010000101.1     13967     15078  (17831) C               Kuruka     Unspecified  (4253)    4580    3461    
  1466 33.91 3.69 2.95    CANBKX010000101.1     19480     20591  (12318) C               Kuruka     Unspecified  (4253)    4580    3461    
   766 35.28 5.50 4.88    CANBKX010000108.1     18096     19114  (18662) C               Kuruka     Unspecified  (4247)    4586    3562    
   409 35.44 4.07 4.58    CANBKX010000118.1      3776      4390  (24788) C               Kuruka     Unspecified  (4294)    4539    3928    
   510 28.80 2.13 2.13    CANBKX010000118.1      4513      4700  (24478) C               Kuruka     Unspecified  (4995)    3838    3651    
   248 25.23 3.60 3.60    CANBKX010000118.1     14985     15095  (14083) +               Kuruka     Unspecified    4223    4333  (4500)    
   251 25.78 0.83 7.02    CANBKX010000119.1      3668      3788  (17632) C               Kuruka     Unspecified  (4457)    4376    4263    
  1966 32.72 3.61 2.92    CANBKX010000121.1     32028     33217   (4809) C               Kuruka     Unspecified  (4174)    4659    3462    
   225 21.57 0.00 0.00    CANBKX010000123.1      7805      7855  (12145) +               Kuruka     Unspecified    3651    3701  (5132)    
   682 35.06 5.02 3.61    CANBKX010000132.1      7844      8799  (11619) C               Kuruka     Unspecified  (4282)    4551    3583    
   336 39.10 0.34 0.69    CANBKX010000132.1     18408     18698   (1720) +               Kuruka     Unspecified    4295    4584  (4249)    
   787 35.92 4.69 3.86    CANBKX010000146.1     17460     18461   (8539) C               Kuruka     Unspecified  (4237)    4596    3587    
   264 33.47 4.18 4.58    CANBKX010000155.1      9855     10117   (8211) C               Kuruka     Unspecified  (4277)    4556    4295    
   461 32.03 2.66 2.66    CANBKX010000155.1     10572     10834   (7494) C               Kuruka     Unspecified  (4996)    3837    3575    
   807 35.34 5.49 4.53    CANBKX010000157.1      7358      8341   (6795) +               Kuruka     Unspecified    3594    4586  (4247)    
   234 31.95 2.51 4.08    CANBKX010000158.1     13459     13657  (14396) +               Kuruka     Unspecified    3506    3701  (5132)    
   317 39.15 1.47 1.72    CANBKX010000158.1     13964     14371  (13682) +               Kuruka     Unspecified    4039    4445  (4388)    
   731 33.56 4.33 4.49    CANBKX010000158.1     25664     26287   (1766) C               Kuruka     Unspecified  (4278)    4555    3933    
   351 30.36 5.93 6.79    CANBKX010000158.1     26424     26794   (1259) C               Kuruka     Unspecified  (5004)    3829    3462    
   464 33.98 5.86 5.41    CANBKX010000162.1      1213      1912   (7191) C               Kuruka     Unspecified  (4670)    4163    3461    
