   832 31.81 4.78 4.78    JBANCZ010000017.1       774      1714 (101291) +               Kuruka     Unspecified    2133    3073  (5760)    
  2292 33.42 1.01 1.10    JBANCZ010000017.1      2094      3276  (99729) +               Kuruka     Unspecified    3456    4637  (4196)    
   374 30.52 6.12 5.79    JBANCZ010002147.1      2572      2898  (14243) C               Kuruka     Unspecified  (4289)    4544    4217    
   486 22.96 2.88 2.88    JBANCZ010002147.1      9650      9788   (7353) C               Kuruka     Unspecified  (4292)    4541    4403    
   305 29.41 0.00 0.00    JBANCZ010002639.1      5530      5614   (9405) +               Kuruka     Unspecified    3574    3658  (5175)    
   423 34.21 0.00 0.00    JBANCZ010002779.1      2149      2300  (12315) C               Kuruka     Unspecified  (4218)    4615    4464    
   292 34.90 3.40 3.79    JBANCZ010002779.1      5330      5594   (9021) C               Kuruka     Unspecified  (4292)    4541    4278    
   356 41.70 1.66 1.82    JBANCZ010002902.1      4781      5442   (8725) +               Kuruka     Unspecified    3951    4611  (4222)    
   240 35.24 5.05 5.41    JBANCZ010002948.1      2866      3162  (10861) +               Kuruka     Unspecified    4283    4578  (4255)    
   346 39.14 2.27 2.43    JBANCZ010002948.1      9801     10418   (3605) +               Kuruka     Unspecified    3939    4555  (4278)    
   245 26.67 1.67 0.00    JBANCZ010003101.1      6294      6353   (7274) +               Kuruka     Unspecified    2778    2838  (5995)    
  1627 33.63 3.23 2.52    JBANCZ010003205.1      9804     10947   (2349) +               Kuruka     Unspecified    3462    4613  (4220)    
   285 31.34 8.29 4.81    JBANCZ010003315.1      7624      7985   (4991) C               Kuruka     Unspecified  (4999)    3834    3461    
  1404 33.95 3.82 3.23    JBANCZ010003322.1      9345     10574   (2382) +               Kuruka     Unspecified    3509    4745  (4088)    
   240 31.92 3.59 3.59    JBANCZ010003457.1        93       287  (12235) C               Kuruka     Unspecified  (4704)    4129    3935    
  1382 34.25 3.67 2.94    JBANCZ010003768.1      3000      4115   (7614) C               Kuruka     Unspecified  (4249)    4584    3461    
   235 33.34 3.80 4.20    JBANCZ010004157.1      2725      2987   (7807) +               Kuruka     Unspecified    4278    4539  (4294)    
   973 34.80 3.48 2.64    JBANCZ010004223.1      2995      3971   (6713) +               Kuruka     Unspecified    3594    4578  (4255)    
   229 29.64 3.54 4.46    JBANCZ010004223.1      9077      9189   (1495) +               Kuruka     Unspecified    4219    4330  (4503)    
   241 29.17 0.00 0.00    JBANCZ010004694.1      2868      2939   (6822) C               Kuruka     Unspecified  (3529)    5304    5233    
  3241 30.15 1.43 1.52    JBANCZ010004694.1      3529      4717   (5044) C               Kuruka     Unspecified  (4190)    4643    3456    
  1130 35.86 1.74 1.33    JBANCZ010004694.1      5106      6080   (3681) C               Kuruka     Unspecified  (5757)    3076    2098    
   278 22.64 0.00 0.00    JBANCZ010004694.1      7185      7237   (2524) C               Kuruka     Unspecified  (8271)     562     510    
   278 33.04 4.31 4.76    JBANCZ010004801.1      6460      6691   (2893) C               Kuruka     Unspecified  (4379)    4454    4224    
   398 28.40 3.31 2.75    JBANCZ010004828.1      6036      6216   (3315) C               Kuruka     Unspecified  (4479)    4354    4173    
   247 29.30 4.85 4.85    JBANCZ010004828.1      6665      6829   (2702) C               Kuruka     Unspecified  (5108)    3725    3561    
   443 34.08 1.88 1.88    JBANCZ010005005.1      4957      5276   (3931) +               Kuruka     Unspecified    4025    4344  (4489)    
  3034 30.83 1.61 1.69    JBANCZ010005061.1      4863      6043   (3072) C               Kuruka     Unspecified  (4198)    4635    3456    
  1003 33.59 4.36 3.16    JBANCZ010005061.1      6248      7372   (1743) C               Kuruka     Unspecified  (5594)    3239    2102    
   483 25.69 0.00 0.00    JBANCZ010005434.1      8169      8277    (259) C               Kuruka     Unspecified  (5266)    3567    3459    
  2693 32.85 2.01 1.58    JBANCZ010005613.1      2601      3797   (4503) C               Kuruka     Unspecified  (4196)    4637    3436    
  1202 32.98 2.67 2.36    JBANCZ010005613.1      4160      5131   (3169) C               Kuruka     Unspecified  (5757)    3076    2102    
   291 33.16 7.91 2.39    JBANCZ010005870.1      6578      6855   (1096) +               Kuruka     Unspecified    2805    3097  (5736)    
   283 28.73 4.92 4.92    JBANCZ010006002.1       143       325   (7443) +               Kuruka     Unspecified    3651    3833  (5000)    
   520 35.87 2.17 2.48    JBANCZ010006002.1       746      1068   (6700) +               Kuruka     Unspecified    4221    4542  (4291)    
   263 32.06 2.96 2.96    JBANCZ010006076.1       779       913   (6773) +               Kuruka     Unspecified    4401    4535  (4298)    
   268 34.55 5.80 3.23    JBANCZ010006413.1      3653      4014   (3243) C               Kuruka     Unspecified  (5001)    3832    3462    
   336 20.37 0.00 0.00    JBANCZ010006595.1      1601      1654   (5411) +               Kuruka     Unspecified     510     563  (8270)    
